title,heading,content,tokens
Athletics at the 2016 Summer Olympics – Men's 800 metres,Summary,"The men's 800 metres event at the 2016 Summer Olympics took place between 12–15 August at the Olympic Stadium. Fifty-eight athletes from 39 nations competed. The event was won by 0.46 seconds by David Rudisha of Kenya, the fourth man to successfully defend Olympic gold in the 800 metres. Taoufik Makhloufi of Algeria took silver, the first medal for the nation in the 800 metres since 2000. The United States had an even longer medal-less streak broken, as Clayton Murphy's bronze was their first since 1992.",115
Athletics at the 2016 Summer Olympics – Men's 800 metres,Background,"This was the 28th appearance of the event, which is one of 12 athletics events to have been held at every Summer Olympics. The top two men from 2012, gold medalist David Rudisha of Kenya and silver medalist Nijel Amos of Botswana, returned along with sixth-place finisher Mohammed Aman of Ethiopia. Rudisha entered the competition as the reigning 2012 Olympic champion and the 2015 World Champion. He also held the season's fastest time at 1:43.35 minutes. His principal challengers included Kenyans Alfred Kipketer and Ferguson Rotich, the African champion Amos, and Olympic 1500 metres champion Taoufik Makhloufi.
Djibouti, Kosovo, Slovenia, and the Refugee Olympic Team appeared in the event for the first time. Great Britain made its 27th appearance, most among all nations, having had no competitors in the event only in the 1904 Games in St. Louis.",193
Athletics at the 2016 Summer Olympics – Men's shot put,Summary,"The men's shot put competition at the 2016 Summer Olympics in Rio de Janeiro, Brazil. The event was held at the Olympic Stadium on 18 August. Thirty-four athletes from 24 nations competed. The event was won by Ryan Crouser of the United States, the nation's first victory in the event since 2004 (and 18th overall). His teammate Joe Kovacs took silver. Tomas Walsh earned New Zealand's first medal in the men's shot put (in the country's first appearance in the event since 1972).",108
Athletics at the 2016 Summer Olympics – Women's 400 metres,Summary,"Shaunae Miller of Bahamas was the world leading runner for 2016, followed by 2015 World Champion Allyson Felix. 2012 Olympic champion Sanya Richards-Ross had failed to make the American team due to a hamstring injury during the American trials.
In qualifying, 2 athletes ran under 51 seconds, American Phyllis Francis and Oluwakemi Adekoya, who ran a Bahraini record. Another Nigerian born Bahraini, 18-year-old Salwa Eid Naser,  won her heat in a personal best.
In the final, Natasha Hastings made up most of the stagger on one of the favorites, Shaunae Miller and held the lead to the halfway point. Miller made up the stagger on Stephenie Ann McPherson in lane 8 to her outside. Starting about 150 metres into the race, Miller accelerated, passing Hastings before the halfway point in the far turn.  In lane 4, Allyson Felix ran an even pace which saw her separate from the athletes inside of her and catching Shericka Jackson late in the second turn. Coming off the turn, Miller held a clear 2 metre advantage over Hastings, with Felix gaining on Hastings and Jackson more than a metre behind Felix. Hastings was passed by Felix who continued to gain on Miller.  In the last few metres as Felix gained on her, Miller started to lean forward trying to get to the finish line.  As Felix looked to pass her in the final step, Miller made a last desperate headlong dive across the line. The photo finish revealed her shoulders had crossed the line seven hundredths of a second ahead of Felix. Jamaican Shericka Jackson finished 3 metres back for bronze.		
Felix's silver became her seventh Olympic medal. She would later earn two more Olympic gold medals as part of the winning 4x100 meters and 4x400 meters teams, tying her with Merlene Ottey as the most decorated woman in track and field history, with nine Olympic medals.",399
Athletics at the 2016 Summer Olympics – Women's long jump,Summary,"In the final, Malaika Mihambo jumped 6.83 m as the first athlete down the runway. The second jumper was Darya Klishina, the only Russian athlete in the entire athletics competition. Her 6.63 took the second spot. Ksenija Balta jumped 6.71 m as the fourth athlete but that order held until almost the end of the round when Ivana Španović moved on top with 6.95 m. 
In the second round Tianna Bartoletta moved into silver medal position with a 6.94 m. Defending champion Brittney Reese jumped a 6.79 m, her only legal jump of the first four rounds, but remained outside of the medals. In the third round, Bartoletta's 1 cm improvement to 6.95 m equalled Španović, with the tiebreaker to put her in gold medal position. On the next jump, Balta equalled Reese, with the same tiebreaker rule pushing her into fifth place. 
The fifth round had the real action. First Reese jumped 7.09 to leap from fifth to first. Her mood went from serious to jubilant. Mihambo jumped the third 6.95 of the competition. Then Španović moved right behind Reese with a 7.08 m, her personal best and a new Serbian national record. 
On the final jump of the round, Bartoletta jumped the winner 7.17 m (23 ft 6+1⁄4 in), her personal best in the Olympic final.  She moved up to be the number 21 performer in history. Only Reese has jumped further in the last nine years. But Reese wasn't done. She popped another big jump on her last attempt. She was celebrating again, but the measurement turned out to be 7.15 m, improving her hold on silver but didn't reach Bartoletta's gold.
The following evening the medals were presented by Auvita Rapilla, IOC member, Papua New Guinea and Svein Arne Hansen, Council Member of the IAAF.",430
Athletics at the 2016 Summer Olympics – Women's discus throw,Summary,"The women's discus throw competition at the 2016 Summer Olympics in Rio de Janeiro, Brazil was held at the Olympic Stadium on 16–17 August. Each athlete received three throws in the qualifying round. All who achieved the qualifying distance progressed to the final. Each finalist was allowed three throws in last round, with the top eight athletes after that point being given three further attempts.",80
Athletics at the 2016 Summer Olympics – Men's discus throw,Summary,"The men's discus throw competition at the 2016 Summer Olympics in Rio de Janeiro, Brazil,  was held at the Estádio Olímpico João Havelange on 12–13 August. Thirty-five athletes from 24 nations competed. Germany's Christoph Harting succeeded his brother Robert Harting to the Olympic title. ""It was the first time in Olympic history, in any sport, that brothers succeeded each other as Olympic champions in the same individual event."" It was also the nation's third victory in the event (excluding those won by East and West Germany). Poland's Piotr Małachowski took the silver medal ahead of another German, Daniel Jasinski. Małachowski had also won silver eight years before, making him the 16th man to win multiple medals in the discus throw.",172
Athletics at the 2016 Summer Olympics – Men's discus throw,Background,"This was the 28th appearance of the event, which is one of 12 athletics events to have been held at every Summer Olympics. The returning finalists from the 2012 Games were gold medalist Robert Harting of Germany, silver medalist Ehsan Haddadi of Iran, bronze medalist (and 2008 gold medalist) Gerd Kanter of Estonia, fifth-place finisher (and 2008 silver medalist) Piotr Małachowski of Poland, seventh-place finisher (and 2008 finalist) Frank Casañas of Spain, eighth-place finisher Vikas Gowda of India, ninth-place finisher Benn Harradine of Australia, and eleventh-place finisher Jorge Fernandez of Cuba. Though injury had affected Robert Harting's 2015 season, he ranked third in the world before the competition. His brother Christoph Harting was one place higher, while the reigning 2015 World Champion Małachowski topped the world seasonal rankings.
Colombia and Kazakhstan each made their debut in the men's discus throw. The United States made its 27th appearance, most of any nation, having missed only the boycotted 1980 Games.",242
Athletics at the 2016 Summer Olympics – Men's hammer throw,Summary,"The men's hammer throw was a competition at the 2016 Summer Olympics in Rio de Janeiro, Brazil. The event was held at the Estádio Olímpico João Havelange between 17–19 August. There were 32 competitors from 24 nations. The event was won by Dilshod Nazarov of Tajikistan, the nation's first medal in the men's hammer throw and first gold medal in any Olympic event. Ivan Tsikhan of Belarus took silver, the 14th man to win multiple medals in the event in adding to his 2008 bronze (which had made him temporarily the 12th man to do so before his 2004 silver medal was stripped in 2012). Bronze went to Wojciech Nowicki of Poland, the nation's first medal in the event since 2000.",166
Athletics at the 2016 Summer Olympics – Men's hammer throw,Background,"This was the 27th appearance of the event, which has been held at every Summer Olympics except 1896. Four of the 12 finalists from the 2012 Games returned: gold medalist Krisztián Pars of Hungary, sixth-place finisher Lukáš Melich of the Czech Republic, ninth-place finisher Kibwe Johnson of the United States, and tenth-place finisher Dilshod Nazarov of Tajikistan. The two-time reigning World Champion (2013 and 2015), and the favorite in Rio de Janeiro, was Paweł Fajdek of Poland. Pars had been the runner-up (with Melich third) in 2013, Nazarov in 2015.
Costa Rica and Qater each made their debut in the event. The United States appeared for the 26th time, most of any nation, having missed only the boycotted 1980 Games.",183
Athletics at the 2016 Summer Olympics – Women's 3000 metres steeplechase,Summary,"Tunisia's Habiba Ghribi returned to defend her 2012 Olympic steeplechase title, though she was outside the top 15 runners on the seasonal lists. The fastest time was held by Ruth Jebet of Bahrain, whose 8:59.97 minutes at the Prefontaine Classic at the end of May made her the second fastest ever in the discipline. The 2015 World Champion Hyvin Jepkemoi of Kenya was four hundredths of a second behind her in that race and had become the third fastest, while America's Emma Coburn had set a national record and was third ranked entering the competition. Ethiopians Etenesh Diro and Sofia Assefa and Kenya's Beatrice Chepkoech rounded out the top six. Gesa Felicitas Krause, a 2015 World medalist and 2016 European Champion, was her continent's best entrant.
Before the competition even began, entrant Silvia Danekova failed a doping test after her arrival in Rio.  She submitted an appeal the Court of Arbitration for Sport where she was ruled ineligible for the race.
In the first round Jebet broke clear of the pack, ran her own race, and easily won her heat over Assefa and Krause. Chepkoech, Ghribi and Coburn took the top qualifying spots in the second race. Jepkemoi won the third and slowest heat, with Genevieve LaCaze and Courtney Frerichs taking the automatic qualifying spots. Etenesh Diro lost her shoe in that race after being stood on by an opponent and ran the remainder of the race barefoot; she failed to make the qualifying time but progressed upon appeal, as did Aisha Praught and Sara Louise Treacy. Four national records were broken, including Lalita Shivaji Babar's 9:19.76 minutes for India.
The strategy in this final was prefaced by the Prefontaine race in Eugene.  In that race, Jebet broke away but was chased down by a last lap kick by Jepkemoi that almost caught her at the line.  Coburn watched the chase from ten seconds back while setting the American record.  Here Jebet knew she needed to create a bigger cushion to discourage Jepkemoi from chasing.  After settling for just being near the front of the pack for the first two laps, Jebet accelerated with one barrier and five laps to go. Only three athletes, Jepkemoi, Chepkoech and Coburn, took off in pursuit, the rest of the field stringing out behind an ever-widening gap.  After a 68-second lap, then a 69-second lap, Jebet had a 3-second lead on the Kenyan teammates with Coburn another 3 seconds back.  After a 70-second lap, Chepkoech began to lose contact with her teammate.  An encouraged Coburn set off in pursuit of a medal, passing the slowing Chepkoech with 1 and 3/4 laps to go. During the 71-second following lap, while Jebet was slowing slightly from the strain, Jepkemoi was consistently losing ground and Coburn could see she was close to Jepkemoi.  Jepkemoi did not take off in hot pursuit of Jebet, more concerned with the challenge from behind.  On the final backstretch, Coburn passed Jepkemoi for a few moments before Jepkemoi accelerated away going into the final water jump.  Jebet cruised home unchallenged with a final lap just under 71, crossing the line in 8:59.75.  Forgetting about Jebet, Jepkemoi used her best sprinting to beat Coburn to the line by a half second for silver.  Coburn set the North American Continental Record 9:07.63 in third. 		
Jebet's time slightly improved her second best time in history, moving to less than a second of the world record.  Coburn's time made her the number 8 performer in history.  Even deeper down the list of finishers, there were many personal bests.  Fourth place Chepkoech became #22 on the all-time list, sixth place Gesa Felicitas Krause became #31, seventh, eighth and ninth places  Madeline Hills, Colleen Quigley and Genevieve LaCaze became #38, #42 and #43 respectively.
The medals were presented by Paul Tergat, IOC member, Kenya and Anna Riccardi, Council Member of the IAAF.
Less than two weeks later, Jebet would set the world record, improving her personal best by almost seven seconds and the world record by six.
Ruth Jebet has been suspended since February 2018 for testing positive for EPO, although her Olympic results are unaffected.",1017
Athletics at the 2016 Summer Olympics – Women's triple jump,Summary,"Before the competition, 2015 World Champion Caterine Ibargüen of Colombia had the longest jump of the season with 15.04 m. Kazakhstan's Olga Rypakova entered as the defending Olympic champion from 2012 and had been the first athlete to beat Ibargüen that year, ending her rival's 34-meet-long winning streak. Twenty-year-old Venezuelan Yulimar Rojas was the only other athlete over fifteen metres that season and had won the 2016 World Indoor Championships. The remaining top challengers formed the 2016 European Championships podium – Patrícia Mamona of Portugal, Greek jumper Paraskeví Papahrístou (third on the world rankings), and 2015 world medallist Hanna Knyazyeva-Minenko of Israel.
Ibargüen topped qualifying with her sole jump of 14.52 m. Papahrístou and Rypakova were the only other automatic qualifiers, both requiring two attempts. It took 14.08 m to make the final. All the main contenders progressed with Germany's Kristin Gierisch and Finn Kristiina Mäkelä posting the next best marks. A 2012 Olympic medallist and former world champion, Olha Saladuha of Ukraine, failed to progress.
In the final, on the third jump of the competition, Keturah Orji took the lead with an American record 14.71 m (48 ft 3 in).  Four jumps later, defending champion Olga Rypakova edged ahead with 14.73 m.  The final jumper in every round of the competition, Caterine Ibargüen moved into bronze medal position with 14.65 m.  In the second round, Ibargüen took the lead she would never relinquish, with a 15.03 m.  In the third round Yulimar Rojas jumped 14.87 m to take over the silver medal position she would not relinquish.  Rojas jumped her best in the fourth round, 14.98 m (49 ft 1+3⁄4 in) and Ibargüen followed that with her best of 15.17 m (49 ft 9 in).  In the fifth round, Rypakova jumped her best of 14.74 m  but the tiny improvement was not enough to improve the color of her medal.",483
Athletics at the 2016 Summer Olympics – Men's 3000 metres steeplechase,Summary,"Continuing the country's unbeaten tradition in the Olympic steeplechase since 1968, the principal challengers to the gold medal came from the Kenyan team. Ezekiel Kemboi returned to defend his 2012 Olympic title and had won almost every global final since 2003. His sole loss came at the 2008 Beijing Olympics to another member of the team Brimin Kipruto. The third Kenyan was Conseslus Kipruto, who was the 2015 World Championships runner-up and held the top three times that season, having won all of the 2016 IAAF Diamond League meets. The next highest ranked entrant at sixth was Bahrain's John Kibet Koech (himself a former Kenyan). The 2012 Olympic runner-up Mahiedine Mekhissi-Benabbad was also present.
In the past Kemboi has sported the frohawk, but at the start line for the final, the 34-year-old man was sporting the reverse mohawk. His prince in training, Conseslus Kipruto has watched his act from behind in the previous two world championships as had many other men in this field. Conseslus made it clear from the gun that this was not going to be a strategic race, rushing to the lead. Returning silver medalist Mahiedine Mekhissi-Benabbad immediately moved to cover the lead, while Evan Jager ran around the outside of the pack to join them at the front 200 metres into the race. By the first barrier, the race was already a string, rather than a pack. Over the next lap, Conseslus pressed the pace, with only Jager following.  A gap opened back to the string of chasers, with Kemboi in the middle of the field. Through the next lap Jacob Araptany and Yemane Haileselassie trying to bridge the gap to Jager but also battling each other for the third position. 2008 gold medalist Brimin Kipruto moved up to join the challenge for third with Kemboi gliding along the inside to join the back of the leaders. The gap was disappearing. Suddenly at the last barrier before the end of the third lap, Araptany didn't appear to be prepared for the barrier, he just went down sliding under the barrier, his chin taking a knockout blow from the barrier with an audible crash. Following the next water jump, Jager moved past Conseslus, the pair tracked by Kemboi, Kenyan ex-pat Hillary Bor and Brimin.  With Jager now pushing the pace, the gap again began to form, with just Conseslus and Kemboi in the lead group.
Prefaced by the 2015 Steeplechase at Paris, Jager had learned he could beat the Kenyans by pushing the pace early. Here he was attempting to do just that. After another lap and a half of this, the gap grew back to fourth place Bor, with Brimin falling back and Mekhissi-Benabbad at the tail of the second group. With less than two laps to go Amor Ben Yahia in the middle of the second group fell over the barrier, leaving Soufiane El Bakkali, Brimin, Bor, Mekhissi-Benabbad and Yoann Kowal the remaining string of chasers. Jager held the lead to just before the bell. Over the penultimate water jump, Kemboi moved into the marking position, but after the following barrier, Conseslus gathered himself and sprinted by both. Kemboi chased Conseslus to the barrier before the backstretch, to be in the perfect position to launch his patented surge. But the surge was not there for Kemboi, instead it was Conseslus who made the surge down the backstretch. By the final water jump, the gap was insurmountable and Conseslus knew it. He began waving to the crowd. Conseslus ran the final straight, arms outstretched celebrating his victory (as Kemboi had done before him). Behind him, Jager was not done, executing his final kick around the beaten Kemboi on the home stretch and pulling away to the silver medal. Kemboi jogged across the finish line in third. Well behind, Mekhissi-Benabbad used the same kind of final lap that had brought him to two previous silver medals to beat the group of chasers to the line in fourth.
After the race was over, the French team filed a protest, claiming Kemboi had stepped off the track following the first water jump.  Video was reviewed of the race and the foul was detected, causing Kemboi to be disqualified, advancing Mekhissi-Benabbad to the bronze medal. That also made Mekhissi-Benabbad and not Kemboi, the first man to win three Olympic medals in the steeplechase.  This was Kenya's ninth straight and eleventh overall gold medal in the steeplechase. Jager was the first American to win a medal in the steeplechase since Brian Diemer in 1984.
After dominating the event, with two Olympic gold medals, four World Championship gold medals (and three silvers before that), Ezekiel Kemboi announced his retirement after the race, only to retract it and compete for one more year after realizing that he was disqualified.
The medals for the competition were presented by Aïcha Garad Ali, Djibouti, member of the International Olympic Committee, and the gifts were presented by Bernard Amsalem, Council Member of the IAAF.",1164
Athletics at the 2016 Summer Olympics – Women's javelin throw,Summary,"The women's javelin throw competition at the 2016 Summer Olympics in Rio de Janeiro, Brazil was held at the Olympic Stadium on 16–18 August. Each athlete received three throws in the qualifying round. All who achieved the qualifying distance progressed to the final. Each finalist was allowed three throws in last round, with the top eight athletes after that point being given three further attempts.",81
Athletics at the 2016 Summer Olympics – Men's pole vault,Summary,"The men's pole vault competition at the 2016 Summer Olympics in Rio de Janeiro, Brazil. The event was held at the Olympic Stadium between 13–15 August. Thirty-one athletes from 16 nations competed. Thiago Braz da Silva of Brazil won the gold medal, the nation's first medal in the men's pole vault. Renaud Lavillenie of France was unable to successfully defend his 2012 gold, but became the seventh man to win two medals with silver this time. Sam Kendricks's bronze returned the United States to the podium after a one-Games absence.",119
Athletics at the 2016 Summer Olympics – Men's 20 kilometres walk,Summary,The men's 20 kilometres race walk at the 2016 Summer Olympics in Rio de Janeiro took place on 12 August on a route along Pontal. Wang Zhen was the first male athletics medallist of the games. His Chinese teammate Cai Zelin was second and Dane Bird-Smith of Australia took the bronze.,67
Athletics at the 2016 Summer Olympics – Men's javelin throw,Summary,"Defending champion, Keshorn Walcott started the final with a respectable 83.45 m.  The second thrower was Johannes Vetter who topped it with an 85.32 m.  The eighth thrower in the round was reigning World Champion Julius Yego, who tossed it 88.24 m (289 ft 6 in), landing on his hands to avoid a face plant on the runway.  He moved into the gold medal position.  The next competitor was the number one thrower in 2016, Thomas Röhler who answered with an 87.40 m to move into silver position.  On his second attempt, Walcott threw it 85.38 to move into bronze position by just 6 cm, still more than 3 metres short of the mark he threw in the qualifying round.  Nobody was able to improve in the next two rounds.  As the final thrower in the fourth round, Yego twisted his left ankle during his fouled attempt.  He limped to the bench and was wheelchair out of the stadium still in gold medal position.  On his fifth attempt, Röhler threw it 90.30 m (296 ft 3 in), less than a foot short of the Olympic record, to move ahead of Yego.  Nobody was able to improve their position in the final round and the gold medal was confirmed.  After treatment, Yego limped back into the stadium to congratulate Röhler and celebrate his silver medal by limping around his victory lap.
The medals for the competition were presented by Richard Peterkin, St. Lucia, Member of the International Olympic Committee, and the gifts were presented by Antti Pihlakoski, IAAF Council Member.",353
Athletics at the 2016 Summer Olympics – Women's 400 metres hurdles,Summary,"The 2012 Olympic champion Natalya Antyukh could not have entered due to Russia's team doping ban. Of the medallists from the 2012 Olympics and 2015 World Championships only Czech athlete Zuzana Hejnová was present, though her form had been lacking that season. The three American medallists of that period did not qualify at the American trials, which were headed by Dalilah Muhammad in a world-leading 52.88 seconds. Top-four ranked Shamier Little and Georganne Moline were beaten by Ashley Spencer and 16-year-old Sydney McLaughlin there. Janieve Russell of Jamaica ranked third for the season but had fitness issues during preparation. Eilidh Doyle, Sara Slott Petersen and Wenda Nel were the only other entrants with times under 54.5 seconds that year.
In the final, Dalilah Muhammad went out aggressively, with a clear lead over the first hurdle. She made up the stagger on Sara Petersen to her outside before the end of the first turn. When they hit the backstretch the positions revealed Peterson was clearly out second best. She continued to lead down the backstretch and through the turn, with Peterson trying to keep pace from behind with further to run around the turn. It is an all or nothing strategy, the only question is if she would tie up in the last 100. Muhammad had to stretch her strides to get over the eighth hurdle, a tip to Petersen that Muhammad might come back. Petersen made a run at Muhammad, perhaps achieving a slight gain between the ninth and tenth hurdle.  But Muhammad did not tie up, the gap didn't shrink and Muhammad had a clear victory. At the eight hurdle, two time world champion and the only returning medalist from 2012 Zuzana Hejnová and Janieve Russel were in a battle for bronze. Ashley Spencer and Eilidh Doyle were in a battle for dead last place, 3 metres behind the bronze medal battle. Over the last two hurdles, Russel faded, while Hejnová stayed about the same distance behind Petersen. But Spencer was in a different gear, running the last hundred like a 100-metre hurdler, passing three Jamaicans and Hejnová then continuing her rush, making a run at Petersen.
Petersen broke her own Danish National Record while winning silver.
The following evening the medals were presented by Nita Ambani, IOC member, India and Nawal El Moutawakel, Council Member of the IAAF.",518
Athletics at the 2016 Summer Olympics – Men's 4 × 400 metres relay,Summary,"The men's 4 × 400 metres relay competition at the 2016 Summer Olympics in Rio de Janeiro, Brazil was held at the Estádio Olímpico João Havelange on 19–20 August.",47
Athletics at the 2016 Summer Olympics – Men's 50 kilometres walk,Summary,"The men's 50 kilometres race walk at the 2016 Olympic Games in Rio de Janeiro was held on 19 August. Matej Tóth, winner of the 2015 World Championships from Slovakia won the gold medal, reigning Olympic champion Jared Tallent from Australia finished second and Japanese walker Hirooki Arai took the bronze. The winning time was 3:40:58.
Canadian Evan Dunfee was awarded the bronze medal after Athletics Canada successfully filed a protest because Arai had made contact with Dunfee in the last 2 km of race, but the Japanese committee appealed the decision, and the medal was reinstated for Arai.",128
Athletics at the 2016 Summer Olympics – Men's long jump,Summary,"The men's long jump competition at the 2016 Summer Olympics in Rio de Janeiro, Brazil was held at the Olympic Stadium between 12 and 13 August. Thirty-two athletes from 23 nations competed. The event was won by 1cm by Jeff Henderson of the United States, the nation's first gold medal in the event since 2004 and 22nd overall. Luvo Manyonga won South Africa's second silver medal in the men's long jump. Defending champion Greg Rutherford of Great Britain took bronze, becoming the tenth man to win a second medal in the event.",115
Athletics at the 2016 Summer Olympics – Women's 20 kilometres walk,Summary,"The race took off as a pack, with Lupita González on point but nobody exerting any force to take the lead.  Always present near the front were the three Chinese athletes; World champion and world record holder Liu Hong, world silver medalist Lü Xiuzhi and  Qieyang Shenjie.  Towering over the lead group was Anežka Drahotová.  After the first laps, Lu and her teammates increased the pace from 9:17 initial laps to sub-9; walkers began to drop off the back of the pack, one by one.  By the halfway mark, the pack was down to 15.  Within the next kilometer, the pack was down to seven, González, two Italians; Antonella Palmisano and Eleonora Giorgi, Brazilian favorite Érica de Sena, and the two Chinese using the pace; Lu and Liu.  Going to the 13K mark, Giorgi received the red paddle to step off the course.  In the next 500 metres, Qieyang and Ana Cabecinha, who had fallen off the back were able to rejoin the pack.  Qieyang continued past the pack to take the position at the front.  After a brief visit, Cabecinha could not stay with the group.  The pace continued to drop, down to 8:42 for the eighth lap, de Sena the next off the back.  Before the end of the penultimate lap, Palmisano fell off the back, leaving the three Chinese vs González.  But González held the lead, pushing the pace.  Qieyang broke and quickly fell back to get passed by Palmisano.  The lap finished in 8:40, the fastest yet.  Through the last lap, the pace increased  Each already had one red card on the board, Liu getting shown three yellow paddles during the lap, still chasing González a step behind with Lu first a step then dropping off the back with just over 500 metres to the finish.  Down the final straight, Liu edged closer to González, then after getting a shoulder ahead, quickly expanded the lead.  With six officials watching over the last 100 metres, Liu did not pick up any calls and crossed the finish line first, two seconds up on González, seven on Lu.  Behind them, Qieyang surged back to Palmisano, but could not get past.",517
Athletics at the 2016 Summer Olympics – Men's 400 metres hurdles,Summary,"The men's 400 metres hurdles event at the 2016 Summer Olympics took place between 15–18 August at the Olympic Stadium. There were 47 competitors from 33 nations. The event was won by Kerron Clement of the United States, the nation's 19th victory in the men's long hurdles. Clement (silver in 2008) became the ninth man to win multiple medals in the event. Both Kenya and Turkey earned their first medals in the men's 400 metres hurdles, the former with Boniface Mucheru Tumuti's silver and the latter with Yasmani Copello's bronze.",123
Athletics at the 2016 Summer Olympics – Men's 400 metres hurdles,Background,"This was the 26th time the event was held. It had been introduced along with the men's 200 metres hurdles in 1900, with the 200 being dropped after 1904 and the 400 being held through 1908 before being left off the 1912 programme. However, when the Olympics returned in 1920 after World War I, the men's 400 metres hurdles was back and would continue to be contested at every Games thereafter.
There were several major absences from the competition: the 2012 Olympic champion Félix Sánchez did not return to defend his title as he had retired, Johnny Dutch (the world-leading athlete that season) had faltered at the American Olympic Trials, and the 2015 World Championships runner-up Denis Kudryavtsev was ineligible due to the Russian team ban for doping. The top contender was Kerron Clement – the 2008 Olympic silver medalist (and 2012 eighth-place finisher) showing a return of form to place second on the world rankings. The 2012 Olympic medalists Javier Culson of Puerto Rico (bronze) and American Michael Tinsley (silver) were other strong entrants, as was the 2016 European Champion Yasmani Copello of Turkey. Jehue Gordon of Trinidad and Tobago was another returning finalist from 2012. Nicholas Bett (Kenya's reigning world champion) was present but ranked outside the world's top forty.
Algeria and Cape Verde each made their debut in the event. The United States made its 25th appearance, most of any nation, having missed only the boycotted 1980 Games.",323
Judo at the 2016 Summer Olympics – Qualification,Summary,"This article details the qualifying phase for judo at the 2016 Summer Olympics.  The competition at these Games will comprise a total of 386 athletes coming from their respective NOCs; each has been allowed to enter a maximum of 14 (seven each for both men and women per division). Host nation Brazil has reserved a spot in each of all 14 events, while twenty are made available to NOCs through a Tripartite Commission Invitation.
The remaining judoka must undergo a qualifying process to earn a spot for the Games through the world ranking list prepared by International Judo Federation that begins on May 30, 2014, and then concludes two years later on the same date.
The top 22 men and top 14 women from the world rankings in each division must directly qualify, ensuring that the NOC is subjected to a limit of 1 judoka per division. If an NOC contains more than a single male athlete ranked in the top 22 and a single female in the top 14 of the world ranking list, the NOC can decide which of their athletes obtain the quota places. Further continental quotas (Europe 25, Africa 24, Pan America 21, Asia 20 and Oceania 10 across both sexes and all divisions) are also subjected to an overall limit to one judoka per NOC and two judoka per division from each continent.",273
Palestine at the 2016 Summer Olympics,Summary,"Palestine competed at the 2016 Summer Olympics in Rio de Janeiro, Brazil, from 5 to 21 August 2016. This was the nation's sixth consecutive appearance at the Summer Olympics.
Palestine Olympic Committee sent the nation's largest ever delegation to the Games. A total of six athletes, four men and two women, were selected to the Palestinian team across four different sports. Four of them were invited to compete in their respective sporting events, with the other two qualifying for the Games on merit. Among the sports represented by the athletes, Palestine marked its Olympic debut in equestrian.
The Palestinian roster featured middle-distance freestyle swimmer Ahmed Gebrel, the lone returning Olympian from London 2012, and three of its athletes being born and raised in Germany: judoka Simon Yacoub (men's 66 kg), Dressage horse rider and dual citizen Christian Zimmermann, and marathon runner Mayada Al-Sayad, who led the delegation as the nation's flag bearer in the opening ceremony, the second female in history since Sanna Abubkheet did so in 2004. Palestine, whose athletes have been allowed to compete under its flag by the International Olympic Committee only since 1996, has yet to win its first Olympic medal.",253
Handball at the 2016 Summer Olympics – Women's qualification,Summary,"The qualification for the 2016 Women's Olympic Handball Tournament was held from December 2014 to March 2016. Twelve teams qualified, the hosts, the World champion, four continental champions and six teams from the World Olympic qualification tournaments respectively.",49
Handball at the 2016 Summer Olympics – Women's qualification,Qualification summary,"^ 1. Norway won the European Championship, ensuring its qualification. Norway later also won the 2015 World Championship title, which took precedence in the qualification path. Therefore, the European Championship's runner-up, Spain, received the European continental tournament berth.",53
Zambia at the 2016 Summer Olympics,Summary,"Zambia competed at the 2016 Summer Olympics in Rio de Janeiro, Brazil, from 5 to 21 August 2016. This was the nation's thirteenth appearance at the Summer Olympics, although it marked its official debut in 1964 under the name Northern Rhodesia. Zambia missed the 1976 Summer Olympics in Montreal, because of its partial support to the African boycott.
The National Olympic Committee of Zambia (NOCZ) sent a team of seven athletes, five men and two women, to compete in four different sports at the Games, matching its roster size with London 2012. The Zambian delegation featured two returning Olympians from the previous Games, including freestyle swimmer Jade Ashleigh Howard and sprinter Gerald Phiri in the men's 100 metres. 20-year-old swimmer and 2014 Youth Olympian Ralph Goveia (men's 100 m butterfly) was Zambia's youngest competitor, while half-lightweight judoka Mathews Punza (men's 66 kg), the oldest of the team (aged 28), served as the nation's flag bearer in the opening ceremony.
Zambia, however, failed to win a single Olympic medal since the 1996 Summer Olympics in Atlanta, where Samuel Matete bagged a silver in the men's 400 m hurdles. Punza and sprinter Kabange Mupopo (women's 400 metres) were the only Zambians to progress beyond the first round of their respective sporting events at the Games, but neither of them reached the final and had the opportunity to end their nation's 20-year podium drought.",321
Zambia at the 2016 Summer Olympics,Athletics (track and field),"Zambian athletes have so far achieved qualifying standards in the following athletics events (up to a maximum of 3 athletes in each event):

Track & road events

Key
Note–Ranks given for track events are within the athlete's heat only
Q = Qualified for the next round
q = Qualified for the next round as a fastest loser or, in field events, by position without achieving the qualifying target
NR = National record
SB = Seasonal best
N/A = Round not applicable for the event
Bye = Athlete not required to compete in round",127
